IssueType,DeviceType,IssueTime,IssueDetails,MobileNumber,emailId,mode,cdn,DeviceDetails,OSDetails,platform,new_Platform,AppVersion,country,state,NetworkStrength,contentID,AdvertiseVideo,userIdentifier,ContractId,Customer_Id,ComplaintId
Security and anti-piracy,Mobile,06/04/2022 00:00:00,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum,5621606264,apadmoree7@unc.edu,Chat,Cloudfront,Samsung Tizen TV,21TV_PREMIUM2,YouTube TV,,Extension 6.5,Panama,Panama City,,e513aef1-1c5e-47b9-85b9-ca87d579b73d,Video,athompson,40-5377098,1591192,2391045
Customer Support,Desktop,14/02/2022 00:00:00,volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus,8648851807,rtrousdelle8@sourceforge.net,Chat,Akamai,iOS,iOS Min version 12.6,Jio Tv,,macOS Ventura 13.0.1,Kazakhstan,Astana,,3efd8397-9cdb-42f7-88ec-524bd23b7717,Advertise,michaelhicks,15-5121010,1439117,1830345
Customer Support,Tablets,05/11/2022 00:00:00,vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non,3931874702,dvinalle9@wikimedia.org,Chat,Cloudfront,tvOS,tvOS 11.0,Alt Balaji,,Xcode 14.1,Uruguay,Montevideo,,e633428f-9b0f-4f77-987c-cb709819687a,Video,wday,52-3195507,1597948,727760
Personalized suggestions and recommendations for content,Laptop,16/04/2022 00:00:00,consequat metus sapien ut nunc vestibulum ante ipsum primis in,3440898636,ljanuarystea@usnews.com,Chat,Akamai,Android,Android 5.0,Eros Now,,Android 11,Uganda,Kampala,,a6a67763-9365-4f89-bf5a-00d3c28e5f2a,Video,houstonjuan,04-8436491,1436931,388711
Offline content,Laptop,16/06/2022 00:00:00,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed,7261999733,fhuchoteb@symantec.com,Chat,Cloudfront,Android TV,Android TV 1st Generation,BigFlix,,Android TV 12.3.2,India,New Delhi,,6777d2f8-b19f-4d85-a0e3-f692ebba67ff,Advertise,tara02,78-3270170,1359864,2299773
Response Time in different networks,Tablets,19/12/2021 00:00:00,erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam,4978223326,jtinceyec@tmall.com,Email,Akamai,Roku,Roku OS 9.4 3rd Generation,Sonyliv,,None,Papua New Guinea,Port Moresby,,ea00b844-33aa-4bd5-baa8-e0b5ae9f957e,Video,ileon,21-3375052,1279507,1288012
Device/Browser Compatibility,Laptop,10/03/2022 00:00:00,integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum,8139879592,awoodiered@godaddy.com,Email,Akamai,Amazon Fire TV,All Fire TV devices,Voot,,FireOS 7.6.1.3,Cocos Islands,West Island,,d54c0059-0d64-4ea2-ad56-70770a49a4a4,Advertise,robert73,33-2636646,1250900,581810
Personalized suggestions and recommendations for content,Tablets,25/01/2022 00:00:00,proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at,8753446658,rmealingee@wired.com,Chat,Akamai,Universal Windows Platform (UWP),Xbox One X/S,Eros Now,,Windows 10,Curacao,Willemstad,,4dba5d03-315f-4888-938f-a985b6c2d3f0,Video,ubrown,20-2599241,1672101,2211219
Device/Browser Compatibility,Mobile,20/01/2022 00:00:00,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat,8592759080,mrenardef@cornell.edu,Chat,Akamai,Samsung Tizen TV,21TV_PREMIUM2,Zee5,,Extension 6.5,Malawi,Lilongwe,,882e88d6-af07-4bd6-a027-994225c3af78,Video,barrontammy,13-0706412,1541522,892199
Device/Browser Compatibility,Laptop,15/08/2022 00:00:00,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi,3894843586,tlovelleg@fc2.com,Chat,Akamai,iOS,iOS Min version 12.6,Alt Balaji,,macOS Ventura 13.0.1,Solomon Islands,Honiara,,6e1c699e-bd19-4f0a-812a-88f07c193521,Video,scottsusan,87-6644936,1542760,2385607
Personalized suggestions and recommendations for content,Mobile,23/11/2021 00:00:00,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non,9650603735,aeslemonteh@ucoz.ru,Chat,Cloudfront,tvOS,tvOS 11.0,Airtel Xstream,,Xcode 14.1,Laos,Vientiane,,03e17c15-2f82-4dba-a91d-159638c82a26,Advertise,jeremybell,87-9800889,1312890,116428
Playback Quality,Desktop,01/05/2022 00:00:00,quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,6872949732,mturpinei@baidu.com,Chat,Cloudfront,Android,Android 5.0,HBO Max,,Android 11,Lithuania,Vilnius,,b9dd171a-2f4c-4c62-bc2a-d9c0a32958bb,Advertise,paul35,54-5034458,1575976,2344291
Multiple user accounts,Tablets,13/05/2022 00:00:00,maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet,1889313866,blereej@irs.gov,Chat,Akamai,Android TV,Android TV 1st Generation,Alt Balaji,,Android TV 12.3.2,Serbia,Belgrade,,d51a7a8d-11c3-41f6-8f58-a71094284796,Video,brenda93,80-6700791,1300737,2032499
Playback Quality,Tablets,14/10/2022 00:00:00,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo,1251244114,tchargeek@uol.com.br,Chat,Cloudfront,Roku,Roku OS 9.4 3rd Generation,Zee5,,None,Nicaragua,Managua,,69739715-59ac-44f8-bbff-54ea071af3b1,Advertise,connorwright,07-0797356,1579354,1071044
Functionalities and features of the app,TV,24/02/2022 00:00:00,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui,4882622947,bharnesel@google.co.uk,Email,Akamai,Amazon Fire TV,All Fire TV devices,Netflix,,FireOS 7.6.1.3,Sri Lanka,Colombo,,fdf49674-ac7d-42c3-b0eb-f6a206ebd2bf,Advertise,kmorgan,59-7891847,1165396,373536
Personalized suggestions and recommendations for content,Mobile,15/06/2022 00:00:00,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta,5104678067,ckemmisem@sphinn.com,Phone Call,Akamai,Universal Windows Platform (UWP),Xbox One X/S,Amazon Prime Video,,Windows 10,Venezuela,Caracas,,ebb140a5-0d2c-4633-9cd9-eecb9e710bfb,Advertise,charlespayne,82-9738590,1845999,1282787
Playback Quality,Mobile,12/07/2022 00:00:00,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,4307646789,jmccrearyen@sciencedaily.com,Chat,Cloudfront,Samsung Tizen TV,21TV_PREMIUM2,BigFlix,,Extension 6.5,North Korea,Pyongyang,,f0d9cb69-2ad1-4a2b-96ab-875a68919b1b,Video,petersontheresa,37-6373637,1836203,2141809
Offline content,TV,20/09/2022 00:00:00,in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus,16238613,jimmeo@vistaprint.com,Email,Akamai,iOS,iOS Min version 12.6,Eros Now,,macOS Ventura 13.0.1,Switzerland,Berne,,142b20fb-a9cc-4ffb-89a2-6f5c5f3fe8f9,Video,brownchristina,27-0535781,1796884,1087134
Device/Browser Compatibility,Mobile,06/09/2022 00:00:00,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur,7284518189,mhoulsonep@squidoo.com,Email,Akamai,tvOS,tvOS 11.0,HBO Max,,Xcode 14.1,Cape Verde,Praia,,d118ae35-279c-4b58-8c7a-63c45222979c,Advertise,martinezthomas,24-3081188,1545916,1302078
Response Time in different networks,Tablets,11/10/2022 00:00:00,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam,3435456213,schelleyeq@goo.gl,Chat,Akamai,Android,Android 5.0,Voot,,Android 11,Spain,Madrid,,3d7f8eec-3b36-408c-895e-43b8eb0a48b1,Advertise,michaeljones,99-5466248,1666376,1608169
Functionalities and features of the app,Tablets,26/01/2022 00:00:00,in tempus sit amet sem fusce consequat nulla nisl nunc,9553688012,lcoursorer@typepad.com,Chat,Cloudfront,Android TV,Android TV 1st Generation,YouTube TV,,Android TV 12.3.2,Dominican Republic,Santo Domingo,,a0adbef6-2727-4313-bce1-14aea8facdce,Video,clarkmatthew,79-7762711,1337077,1301385
Functionalities and features of the app,Laptop,01/11/2022 00:00:00,aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis,8362582375,scasees@earthlink.net,Email,Cloudfront,Roku,Roku OS 9.4 3rd Generation,Netflix,,None,United States,Washington,,72d6b9ab-9e61-45a1-a45a-809a194c79ae,Advertise,rebecca01,08-5355308,1670246,2308948
Personalized suggestions and recommendations for content,Mobile,22/05/2022 00:00:00,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis,8261758117,cwestcaret@wiley.com,Phone Call,Cloudfront,Amazon Fire TV,All Fire TV devices,YouTube TV,,FireOS 7.6.1.3,Nigeria,Abuja,,fc25c1c0-2816-42cc-904e-7591f9f42092,Video,hjones,86-4718982,1112826,349754
Multiple user accounts,Desktop,18/01/2022 00:00:00,nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis,7569425464,phobbeneu@google.com.au,Chat,Cloudfront,Universal Windows Platform (UWP),Xbox One X/S,Amazon Prime Video,,Windows 10,Svalbard and Jan Mayen,Longyearbyen,,e8d4a598-507a-4f54-becd-54bbc9745944,Video,ddennis,49-6291109,1321430,997239
Personalized suggestions and recommendations for content,TV,20/11/2022 00:00:00,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi,9870427804,dsmalecombeev@eepurl.com,Chat,Cloudfront,Samsung Tizen TV,21TV_PREMIUM2,Amazon Prime Video,,Extension 6.5,Aruba,Oranjestad,,a820a248-d024-497e-8a1e-dc8566474467,Video,daniellesmith,30-0234920,1602400,2411158
Better user interface and workability,Tablets,17/08/2022 00:00:00,rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula,5606506998,jaldcorneew@macromedia.com,Chat,Cloudfront,iOS,iOS Min version 12.6,Sling TV,,macOS Ventura 13.0.1,Guinea-Bissau,Bissau,,31399c2d-86df-461e-9c9e-931b42b67002,Advertise,amandamorales,56-7925755,1381249,2180917
Playback Quality,Laptop,02/03/2022 00:00:00,odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat,7858364545,ctothex@google.com.hk,Phone Call,Cloudfront,tvOS,tvOS 11.0,Jio Tv,,Xcode 14.1,Iceland,Reykjavik,,1af173d8-aa06-4e80-a0d9-303b755827b8,Advertise,tonyagarcia,93-6756690,1815409,1786687
Playback Quality,Mobile,27/03/2022 00:00:00,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at,1264947380,bpurseyey@google.com.br,Email,Akamai,Android,Android 5.0,BigFlix,,Android 11,Slovenia,Ljubljana,,abc96f29-b611-406d-a375-f4ff0a7a39f0,Video,xholmes,63-8949313,1762049,2069590
Device/Browser Compatibility,Tablets,18/01/2022 00:00:00,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem,9223929059,lhinzeez@xing.com,Chat,Cloudfront,Android TV,Android TV 1st Generation,YouTube TV,,Android TV 12.3.2,Paraguay,Asuncion,,aa21e5d1-d25d-464b-acbf-e5e50fac72d4,Video,michellewilson,82-2850970,1776853,537734
Multiple user accounts,Laptop,23/12/2021 00:00:00,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede,935333908,dbendigf0@geocities.jp,Chat,Akamai,Roku,Roku OS 9.4 3rd Generation,HBO Max,,None,Turks and Caicos Islands,Cockburn Town,,bd17aa64-fc40-4a75-b7eb-6c26ff8a7d9b,Video,veronica11,75-0398608,1234944,629530
Response Time in different networks,TV,22/10/2022 00:00:00,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,1210291428,mgypsonf1@cbsnews.com,Phone Call,Akamai,Amazon Fire TV,All Fire TV devices,Mx Player,,FireOS 7.6.1.3,Georgia,Tbilisi,,a6f09c28-761c-458d-b6d9-20801c840ada,Video,roblesjustin,81-7485844,1185915,1593727
Playback Quality,Laptop,04/09/2022 00:00:00,in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris,6288687227,rofairyf2@microsoft.com,Chat,Akamai,Universal Windows Platform (UWP),Xbox One X/S,Zee5,,Windows 10,French Guiana,Cayenne,,fc35d3a5-cb8b-4da2-9e53-84b977e36fee,Advertise,kerrkatherine,84-3852268,1355416,8908
Better user interface and workability,Tablets,22/06/2022 00:00:00,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat,8084402137,lgaylorf3@go.com,Email,Akamai,Samsung Tizen TV,21TV_PREMIUM2,Disney + Hotstar,,Extension 6.5,Cook Islands,Avarua,,6becf6b5-d59c-47fb-a4c9-b5065657afa6,Video,mcdowellanna,67-0148785,1736265,1307984
Device/Browser Compatibility,Laptop,20/08/2022 00:00:00,sapien placerat ante nulla justo aliquam quis turpis eget elit sodales,4357148138,mleucharsf4@lulu.com,Chat,Cloudfront,iOS,iOS Min version 12.6,Sonyliv,,macOS Ventura 13.0.1,Namibia,Windhoek,,7a315991-0803-4cf7-9dda-16fb9cc690a1,Video,shawngross,45-7757579,1258426,2437746
Functionalities and features of the app,Laptop,06/01/2022 00:00:00,augue a suscipit nulla elit ac nulla sed vel enim,474490211,cparrinf5@umn.edu,Phone Call,Akamai,tvOS,tvOS 11.0,Airtel Xstream,,Xcode 14.1,Ghana,Accra,,58899238-ff67-43a9-af8f-28c2176e507c,Advertise,matthewsdaniel,54-3471151,1836234,2281205
Customer Support,Desktop,14/01/2022 00:00:00,quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet,9022810054,jbrannonf6@pcworld.com,Phone Call,Akamai,Android,Android 5.0,BigFlix,,Android 11,Saint Helena,Jamestown,,35e76462-25d0-4e6e-a8c3-62cc8eb90a2c,Advertise,randy56,36-5725579,1296879,2097165
Multiple user accounts,Mobile,10/10/2022 00:00:00,dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum,9682248698,acasef7@4shared.com,Routan,Cloudfront,Android TV,Android TV 1st Generation,Mx Player,,Android TV 12.3.2,Palestinian Territory,East Jerusalem,,90c1747b-085c-4cf6-ad38-05fc27e2b176,Advertise,samanthawilliams,33-2043503,1438110,732841
Personalized suggestions and recommendations for content,Desktop,18/08/2022 00:00:00,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci,7788031763,pfattoref8@upenn.edu,Email,Akamai,Roku,Roku OS 9.4 3rd Generation,Eros Now,,None,Micronesia,Palikir,,49027734-3bdc-4667-adf7-fdf06aee10d4,Video,katie56,43-6897207,1667627,567824
Response Time in different networks,Laptop,05/10/2022 00:00:00,in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum,4467096965,agirodonf9@mozilla.com,Email,Cloudfront,Amazon Fire TV,All Fire TV devices,YouTube TV,,FireOS 7.6.1.3,Jersey,Saint Helier,,f3f7a30a-f2a7-4367-9aa2-504149dfd92d,Advertise,jflowers,64-6770431,1862061,9052
Response Time in different networks,TV,17/07/2022 00:00:00,velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue,7385370772,mjoshamfa@apache.org,Email,Akamai,Universal Windows Platform (UWP),Xbox One X/S,Voot,,Windows 10,Bangladesh,Dhaka,,c151f83a-b882-4d59-a2a5-e84dff2b795c,Video,coletheodore,53-8429875,1164275,2442948
Playback Quality,Laptop,16/07/2022 00:00:00,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida,4717542568,chanefb@admin.ch,Phone Call,Akamai,Samsung Tizen TV,21TV_PREMIUM2,Facebook Watch,,Extension 6.5,Sint Maarten,Philipsburg,,af272224-40b2-4bb2-929c-9dc84d0bd724,Video,jonesjohn,37-7560523,1863760,867565
Better user interface and workability,Desktop,19/11/2022 00:00:00,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris,9327321618,astapfordfc@hc360.com,Email,Cloudfront,iOS,iOS Min version 12.6,Disney + Hotstar,,macOS Ventura 13.0.1,China,Beijing,,e3668eec-e163-41b2-8245-e14527e92460,Advertise,ramseyjoe,11-0058124,1199639,2412808
Device/Browser Compatibility,Mobile,13/01/2022 00:00:00,nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor,5478929034,agundreyfd@bbc.co.uk,Chat,Cloudfront,tvOS,tvOS 11.0,Sonyliv,,Xcode 14.1,Republic of the Congo,Brazzaville,,8eb5efbe-eb84-4d1a-87e4-819ec88ba2bb,Video,gonzalezjonathan,93-2589685,1774959,421704
Offline content,Mobile,24/01/2022 00:00:00,nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper,4640232810,mchellamfe@bbb.org,Phone Call,Akamai,Android,Android 5.0,Zee5,,Android 11,Montenegro,Podgorica,,465beef2-0b3c-4597-b744-d81e80e7452d,Advertise,stephaniebutler,99-4174558,1388041,647312
Response Time in different networks,TV,24/09/2022 00:00:00,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis,6182187824,kbecconsallff@slashdot.org,Email,Akamai,Android TV,Android TV 1st Generation,Alt Balaji,,Android TV 12.3.2,Puerto Rico,San Juan,,c55ebb62-39c0-4e49-a46c-89fd3d7a4453,Video,richardlowe,21-0760345,1210884,137137
Offline content,Desktop,08/11/2022 00:00:00,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales,5934715585,rwhitelyfg@freewebs.com,Chat,Akamai,Roku,Roku OS 9.4 3rd Generation,Disney + Hotstar,,None,Turkey,Ankara,,e33ad366-ced0-409d-819d-1ea3f355ffb2,Video,michele74,74-5101736,1365814,2005531
Multiple user accounts,Tablets,29/12/2021 00:00:00,eget rutrum at lorem integer tincidunt ante vel ipsum praesent,5022470268,pprimmerfh@cyberchimps.com,Phone Call,Cloudfront,Amazon Fire TV,All Fire TV devices,Sling TV,,FireOS 7.6.1.3,Mauritius,Port Louis,,79dca259-a2aa-4c71-a5db-26465ef90a5b,Advertise,pittmancarl,88-7289389,1115087,2406891
Offline content,Desktop,21/10/2022 00:00:00,turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu,1607167816,cdewhurstfi@wikia.com,Phone Call,Akamai,Universal Windows Platform (UWP),Xbox One X/S,Alt Balaji,,Windows 10,Nauru,Yaren,,e3d84848-07ff-49f6-affe-a39973111dff,Video,andreajones,37-4048647,1875951,1841263
Response Time in different networks,TV,06/10/2022 00:00:00,in libero ut massa volutpat convallis morbi odio odio elementum,1502405938,dlengletfj@noaa.gov,Phone Call,Akamai,Samsung Tizen TV,21TV_PREMIUM2,Airtel Xstream,,Extension 6.5,Belarus,Minsk,,be717557-3fea-44c1-b4a1-405e5074798c,Video,kellerstefanie,50-4207814,1243348,2420310
Device/Browser Compatibility,Mobile,03/11/2022 00:00:00,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl,8389671603,lbalsdonfk@google.fr,Phone Call,Akamai,iOS,iOS Min version 12.6,YouTube TV,,macOS Ventura 13.0.1,Norway,Oslo,,325f7b28-7ec0-482b-8127-f993f9c8b1e3,Video,frank08,19-2571195,1178393,1114002
Functionalities and features of the app,Tablets,15/10/2022 00:00:00,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien,8806302787,catkirkfl@china.com.cn,Email,Cloudfront,tvOS,tvOS 11.0,Facebook Watch,,Xcode 14.1,Taiwan,Taipei,,1d7ab57f-88b7-473e-9b57-726c290772d4,Video,bakercaleb,20-0922269,1500502,227490
Personalized suggestions and recommendations for content,Desktop,27/11/2021 00:00:00,purus aliquet at feugiat non pretium quis lectus suspendisse potenti in,5675877223,ashmyrfm@gmpg.org,Chat,Cloudfront,Android,Android 5.0,Zee5,,Android 11,Christmas Island,Flying Fish Cove,,049b1d8a-8b27-4c4b-a24d-ee8b6fbb5fe1,Video,chrisjohnson,80-5524604,1892811,862902
Offline content,Mobile,21/09/2022 00:00:00,porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo,9214331707,sroughfn@mozilla.com,Chat,Cloudfront,Android TV,Android TV 1st Generation,YouTube TV,,Android TV 12.3.2,Madagascar,Antananarivo,,6bac0295-4f1a-4773-84ad-62888ffaf56f,Advertise,christopher75,63-2082672,1441760,2435375
Multiple user accounts,Desktop,04/05/2022 00:00:00,donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla,7149709273,psiddonfo@unblog.fr,Chat,Akamai,Roku,Roku OS 9.4 3rd Generation,Jio Tv,,None,Montserrat,Plymouth,,4b6cc5cf-87f2-4375-af75-eb92ea52807b,Video,grogers,61-5453240,1738676,1792341
Security and anti-piracy,Desktop,13/09/2022 00:00:00,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi,2338601548,mgokesfp@trellian.com,Phone Call,Cloudfront,Amazon Fire TV,All Fire TV devices,Mx Player,,FireOS 7.6.1.3,Moldova,Chisinau,,db327ddf-9565-4171-a635-adca09894e7c,Video,hahnjose,19-7428996,1217305,533146
Security and anti-piracy,Desktop,21/04/2022 00:00:00,ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis,404118259,tgladingfq@oracle.com,Email,Akamai,Universal Windows Platform (UWP),Xbox One X/S,YouTube TV,,Windows 10,Trinidad and Tobago,Port of Spain,,7d228172-4f7f-40bd-87bd-ab57c7a307b5,Advertise,petersonalexander,27-7828933,1662684,157625
Customer Support,Tablets,09/12/2021 00:00:00,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec,128874112,mshieldsfr@discuz.net,Email,Cloudfront,Samsung Tizen TV,21TV_PREMIUM2,BigFlix,,Extension 6.5,Tunisia,Tunis,,473288e1-49de-41e9-8cd2-bc17a997092f,Advertise,jeffreypowell,22-5347143,1586917,1083865
Offline content,Mobile,31/10/2022 00:00:00,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque,3674804220,odougherfs@wikimedia.org,Chat,Akamai,iOS,iOS Min version 12.6,Jio Tv,,macOS Ventura 13.0.1,Bhutan,Thimphu,,45f2f728-8b11-4d70-9f5a-9f82c9002261,Video,tammywood,16-6473639,1754897,2075186
Device/Browser Compatibility,Mobile,10/07/2022 00:00:00,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue,4203034426,ktunniclisseft@toplist.cz,Email,Akamai,tvOS,tvOS 11.0,Sling TV,,Xcode 14.1,Democratic Republic of the Congo,Kinshasa,,629e262d-66b0-4281-9b89-dc19b841019f,Video,dawnlittle,76-6630113,1857539,1245558
Personalized suggestions and recommendations for content,TV,18/08/2022 00:00:00,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus,1323055053,oepinoyfu@123/reg.co.uk,Chat,Akamai,Android,Android 5.0,HBO Max,,Android 11,United Arab Emirates,Abu Dhabi,,de4a63b6-5b41-4d53-889b-451cf81f6335,Advertise,yangruth,64-6677316,1463541,2343051
Response Time in different networks,Desktop,30/10/2022 00:00:00,cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam,1660337518,cswindonfv@cmu.edu,Phone Call,Cloudfront,Android TV,Android TV 1st Generation,YouTube TV,,Android TV 12.3.2,Aland Islands,Mariehamn,,1a8fa525-991f-41ce-92f8-85d654e58fd2,Video,anthony91,28-6876495,1607360,985343
Response Time in different networks,TV,07/03/2022 00:00:00,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque,6348639916,kbensleyfw@diigo.com,Chat,Cloudfront,Roku,Roku OS 9.4 3rd Generation,ShemarooMe,,None,Sao Tome and Principe,Sao Tome,,36558306-d643-4d03-aeac-8b1782e43b7f,Advertise,jeffreyabbott,09-0391848,1343586,852032
Offline content,TV,27/01/2022 00:00:00,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio,4171103673,bzwickerfx@godaddy.com,Phone Call,Akamai,Amazon Fire TV,All Fire TV devices,Netflix,,FireOS 7.6.1.3,Peru,Lima,,6204641f-7046-4995-8715-3bcf4d02399f,Advertise,alexiscameron,66-8323807,1109612,2372221
Response Time in different networks,Tablets,01/09/2022 00:00:00,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in,4990694422,bchoudhuryfy@amazon.co.uk,Chat,Akamai,Universal Windows Platform (UWP),Xbox One X/S,Amazon Prime Video,,Windows 10,Croatia,Zagreb,,016c9828-dd99-4310-9477-509959ab4cef,Video,cynthia24,11-7369368,1432750,1125561
Offline content,Laptop,16/05/2022 00:00:00,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor,2199763625,ngilbyfz@yellowbook.com,Email,Akamai,Samsung Tizen TV,21TV_PREMIUM2,Zee5,,Extension 6.5,Mayotte,Mamoudzou,,78d7448a-8132-443d-93cc-68ac189ad281,Video,jeffreyschroeder,55-9259635,1902302,2249348
Device/Browser Compatibility,TV,12/01/2022 00:00:00,urna pretium nisl ut volutpat sapien arcu sed augue aliquam,3857303794,lsateg0@ox.ac.uk,Chat,Akamai,iOS,iOS Min version 12.6,Peacock,,macOS Ventura 13.0.1,Latvia,Riga,,be0abbc4-23eb-45d1-bc9d-f9e87b12f384,Video,davidlopez,12-4899251,1519801,663076
Playback Quality,Mobile,07/05/2022 00:00:00,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam,7797652090,iburlingameg1@google.com,Chat,Akamai,tvOS,tvOS 11.0,Mx Player,,Xcode 14.1,Morocco,Rabat,,cce20d7f-2817-46ed-a70b-9fb41386f99d,Video,wilsonjoseph,81-3446629,1312718,19166
Multiple user accounts,Laptop,28/03/2022 00:00:00,a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut,6732216988,wmacginneyg2@stanford.edu,Phone Call,Cloudfront,Android,Android 5.0,Amazon Prime Video,,Android 11,South Sudan,Juba,,fef56203-b6dd-4534-9cb8-b922ce026a0f,Advertise,fhenry,75-5987668,1554006,90046
Functionalities and features of the app,Mobile,13/05/2022 00:00:00,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo,3668905185,tgarsideg3@spiegel.de,Phone Call,Cloudfront,Android TV,Android TV 1st Generation,Sonyliv,,Android TV 12.3.2,Bulgaria,Sofia,,66a6ef1d-1696-428b-9462-d31c840020e3,Advertise,james00,77-5268354,1492967,2375350
Playback Quality,Laptop,05/09/2022 00:00:00,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum,9005319445,adomenyg4@technorati.com,Phone Call,Akamai,Roku,Roku OS 9.4 3rd Generation,Jio Tv,,None,Panama,Panama City,,d1e40287-3256-4d29-865a-278d3b75736c,Advertise,tracimelton,78-1288073,1442676,189407
